telemetry_id,driver_id,delivery_id,session_id,timestamp,latitude,longitude,altitude_m,heading_degrees,speed_mph,gps_accuracy_m,hard_brake_event,rapid_acceleration_event,sharp_turn_event,speeding_event,phone_interaction_event,device_type,app_version,battery_pct,network_type,signal_strength_dbm,delivery_status,estimated_arrival_min,distance_to_destination_mi,on_time_flag,weather_condition,temperature_f,traffic_condition,time_of_day_segment,trip_distance_elapsed_mi,idle_time_sec,safety_score,earnings_per_mile
TEL-6485BEEAD281,DRV-1017,PR-240803-3UV16O6,SES-787AA379,2025-03-04T21:17:30.000Z,32.93366,-96.623989,150.6,322.1,33.4,10.9,False,False,False,False,False,android,4.1.2,65,LTE,-66,en_route_to_customer,1.6,0.899,True,clear,81.4,light,late_night,1.877,0,98,1.6
TEL-07BAE458F420,DRV-1005,PR-240703-QAIV0BL,SES-ED7CD93F,2025-03-07T00:38:00.000Z,33.086308,-96.675789,157.7,0.0,0.0,11.9,False,False,False,False,True,ios,4.1.2,61,LTE,-58,waiting_at_restaurant,0.0,0.0,False,clear,73.7,moderate,late_night,0.624,42,73,1.71
TEL-431F0C5024DF,DRV-1002,PR-240730-50K4A67,SES-3F1AE1DE,2025-03-02T15:03:00.000Z,33.067691,-96.639116,166.4,157.1,18.1,14.3,False,False,False,False,False,ios,4.2.0,94,5G,-64,en_route_to_restaurant,2.1,0.627,True,clear,52.3,moderate,dinner,0.542,0,99,2.74
TEL-AE76794B0005,DRV-1011,PR-240812-TV05PZS,SES-2C148E63,2025-03-05T08:40:30.000Z,32.967571,-96.583632,162.7,0.0,0.0,12.9,False,False,False,False,False,android,4.2.1,36,LTE,-75,waiting_at_restaurant,0.0,0.0,True,clear,49.6,moderate,breakfast,1.08,12,100,3.72
TEL-E733F4089342,DRV-1000,PR-240725-LMY8G70,SES-BA32D9DB,2025-03-07T17:24:00.000Z,32.815669,-96.765487,132.6,212.2,34.8,5.8,False,False,False,False,False,ios,4.1.2,97,3G,-62,en_route_to_restaurant,0.7,0.387,True,clear,60.0,light,dinner,0.863,0,100,2.35
TEL-608EEDE6D03B,DRV-1000,PR-240727-AQJM3JN,SES-FB7CCF3D,2025-03-07T16:08:00.000Z,33.072169,-96.623534,121.8,0.0,0.0,3.8,False,False,False,False,False,ios,4.1.2,93,LTE,-84,waiting_at_restaurant,0.0,0.0,True,clear,77.6,light,dinner,1.523,44,100,3.27
TEL-1E1A51744E0E,DRV-1019,PR-240816-0R5SAVO,SES-0D23E49E,2025-03-05T01:51:00.000Z,32.937044,-96.757659,137.3,234.5,7.6,3.7,False,False,False,False,False,android,4.1.2,84,LTE,-63,en_route_to_customer,0.5,0.067,True,clear,74.7,heavy,late_night,1.333,0,98,3.17
TEL-13ECB3BC7EBA,DRV-1015,PR-240701-EL82OBT,SES-74C4A574,2025-03-05T12:53:00.000Z,32.750329,-96.813115,134.7,242.8,28.6,3.2,False,False,True,False,False,android,4.1.2,47,3G,-90,en_route_to_customer,2.4,1.133,True,clear,89.1,light,lunch,2.004,0,90,1.42
TEL-1092AED27C90,DRV-1017,PR-240605-NBSETAT,SES-19C6FAFB,2025-03-04T15:30:30.000Z,32.985447,-96.607501,131.6,89.8,24.6,9.0,False,False,False,False,False,android,4.1.2,45,LTE,-101,en_route_to_restaurant,0.3,0.128,True,fog,66.4,light,dinner,0.865,0,100,2.96
TEL-FD30F12B40A4,DRV-1017,,SES-19C6FAFB,2025-03-04T15:38:00.000Z,32.959282,-96.640211,171.9,0.0,0.0,9.0,False,False,False,False,False,android,4.1.2,37,LTE,-83,idle,0.0,0.0,True,clear,99.9,light,dinner,0.0,20,99,3.0
TEL-4EADFC95C309,DRV-1015,PR-240825-4G5GJDN,SES-8F477A5C,2025-03-06T02:56:00.000Z,32.943964,-96.798826,168.2,194.2,13.0,11.6,False,False,False,False,False,android,4.1.2,63,LTE,-103,en_route_to_customer,0.2,0.039,False,clear,58.2,moderate,late_night,1.462,0,100,2.02
TEL-B327D4F07041,DRV-1005,PR-240804-1PVM23X,SES-E5A117D4,2025-03-06T20:22:00.000Z,32.964643,-96.785853,137.3,0.0,0.0,13.4,False,False,False,False,False,ios,4.1.2,43,LTE,-84,waiting_at_restaurant,0.0,0.0,True,clear,87.8,moderate,dinner,0.797,9,97,3.38
TEL-96B1AF680BB7,DRV-1009,PR-240813-TFMJF2W,SES-A01F23CD,2025-03-05T00:18:30.000Z,33.067155,-96.662862,156.0,159.1,11.9,13.8,False,False,False,False,False,android,4.2.1,95,LTE,-56,en_route_to_restaurant,2.4,0.467,True,fog,101.5,moderate,late_night,0.457,0,99,2.66
TEL-ED20B01DFD8A,DRV-1002,PR-240603-ESHYTT6,SES-D5C4FD7C,2025-03-03T00:53:30.000Z,33.027021,-96.67589,141.8,128.7,19.6,10.8,False,False,False,False,True,ios,4.2.0,60,LTE,-105,en_route_to_restaurant,1.3,0.433,False,clear,91.8,light,late_night,0.301,0,78,1.64
TEL-52DE573B405D,DRV-1010,PR-240831-TIN79H5,SES-1A14654B,2025-03-07T12:20:00.000Z,32.739292,-96.826009,170.3,159.2,14.6,9.8,False,False,False,False,False,ios,4.2.0,43,5G,-62,en_route_to_restaurant,0.4,0.109,True,clear,62.6,moderate,lunch,0.812,0,100,3.49
TEL-ACC2F23ED1F0,DRV-1015,PR-240707-FMZUZY0,SES-4DAFBC9D,2025-03-06T05:41:30.000Z,32.758882,-96.795464,145.2,200.7,20.1,3.8,False,False,False,False,False,android,4.1.2,41,LTE,-89,en_route_to_restaurant,1.0,0.35,True,clear,84.2,light,breakfast,0.421,0,98,1.37
TEL-0EFC5CC103BB,DRV-1006,,SES-635B8AA5,2025-03-05T08:36:30.000Z,32.752303,-96.826637,134.6,0.0,0.0,4.8,False,False,False,False,False,ios,4.2.0,53,LTE,-58,idle,0.0,0.0,True,rain,76.6,moderate,breakfast,0.0,13,100,2.58
TEL-6DCD09F97580,DRV-1012,PR-240627-ZFLMZPC,SES-B1D5A00B,2025-03-02T20:58:30.000Z,32.755749,-96.758241,133.6,0.0,0.0,16.5,False,False,False,False,False,android,4.2.0,59,LTE,-93,waiting_at_restaurant,0.0,0.0,True,clear,61.1,moderate,dinner,0.627,0,100,3.48
TEL-1F6993B2030A,DRV-1004,PR-240825-AO57FHO,SES-D794229A,2025-03-03T02:13:30.000Z,32.990973,-96.607675,150.9,227.9,35.0,10.2,False,False,False,False,False,android,4.1.2,57,LTE,-93,en_route_to_customer,5.0,2.898,True,clear,86.9,light,late_night,1.133,0,100,3.62
TEL-CB88C442FDBD,DRV-1012,PR-240804-DWO3TF5,SES-19E6F8FA,2025-03-02T23:17:00.000Z,32.982934,-96.733115,134.5,0.0,0.0,13.6,False,False,False,False,False,android,4.2.0,58,5G,-80,waiting_at_restaurant,0.0,0.0,True,clear,75.2,light,late_night,1.11,14,99,3.4
TEL-FB550161B525,DRV-1001,PR-240815-BWUOG55,SES-97B6EC58,2025-03-08T06:53:00.000Z,32.937874,-96.654853,152.2,325.1,37.3,7.7,False,False,False,False,False,android,4.2.0,36,5G,-56,en_route_to_customer,0.0,0.019,True,clear,48.2,light,breakfast,2.879,0,100,2.39
TEL-A55887CD075A,DRV-1000,PR-240709-4QH8PAR,SES-2D084744,2025-03-07T15:39:00.000Z,32.789368,-96.808834,169.4,0.0,0.0,2.7,False,False,False,False,False,ios,4.1.2,86,LTE,-69,waiting_at_restaurant,0.0,0.0,True,clear,99.0,moderate,dinner,1.067,1,98,3.31
TEL-E92EC44F8441,DRV-1001,PR-240613-KMNVUAH,SES-B0F1DC40,2025-03-08T05:59:30.000Z,32.949979,-96.721438,142.0,159.2,37.3,3.8,False,False,False,False,False,android,4.2.0,49,5G,-96,en_route_to_customer,0.3,0.194,True,rain,87.3,light,breakfast,2.8,0,100,3.42
TEL-D761D2002563,DRV-1000,PR-240812-5WKUMJT,SES-53592257,2025-03-07T13:47:30.000Z,33.078632,-96.655649,132.1,208.0,26.9,18.0,False,False,False,False,False,ios,4.1.2,84,wifi,-71,en_route_to_customer,8.8,3.927,True,clear,82.3,moderate,lunch,0.624,0,99,3.61
TEL-2A6437134051,DRV-1011,PR-240812-1TXZL7I,SES-E1466651,2025-03-05T09:30:30.000Z,32.966341,-96.601584,174.9,216.4,9.7,12.3,False,False,False,False,False,android,4.2.1,65,wifi,-70,en_route_to_customer,17.8,2.885,True,clear,61.8,moderate,breakfast,0.917,0,97,3.28
TEL-7A9F8B0C9CE4,DRV-1015,PR-240706-0M21IIA,SES-221ED488,2025-03-05T13:33:30.000Z,33.070197,-96.632843,148.0,315.0,15.4,12.6,False,False,False,False,False,android,4.1.2,61,LTE,-69,en_route_to_restaurant,2.9,0.737,True,clear,57.2,heavy,lunch,0.216,0,100,3.1
TEL-ED78662F8970,DRV-1013,PR-240815-6J9BHBZ,SES-191C122C,2025-03-09T21:53:00.000Z,32.987758,-96.745329,125.0,0.0,0.0,13.6,False,False,False,False,False,ios,4.2.1,90,3G,-98,delivered,0.0,0.0,False,clear,53.2,moderate,late_night,1.869,0,97,2.95
TEL-27D7D0D0717D,DRV-1012,PR-240609-3QJ4JNP,SES-AA9BBE4E,2025-03-03T12:30:30.000Z,32.771936,-96.750042,122.6,61.1,28.1,17.4,False,False,False,False,False,android,4.2.0,87,3G,-72,en_route_to_customer,0.1,0.065,True,clear,103.6,moderate,lunch,2.822,0,100,2.22
TEL-4A00A0D3C63C,DRV-1004,PR-240821-ITZU96D,SES-905BC99F,2025-03-03T00:06:00.000Z,32.742189,-96.833678,126.0,193.3,25.9,16.5,False,False,False,False,False,android,4.1.2,78,wifi,-58,en_route_to_customer,0.1,0.059,True,rain,58.8,moderate,late_night,1.263,0,99,2.67
TEL-753A1EB6AE47,DRV-1001,,SES-C88ECADE,2025-03-08T16:42:30.000Z,33.00744,-96.800526,154.5,0.0,0.0,5.4,False,False,False,False,False,android,4.2.0,48,3G,-102,idle,0.0,0.0,False,clear,89.5,moderate,dinner,0.0,31,98,1.54
TEL-385A92FD9D94,DRV-1017,PR-240826-BSL3NHL,SES-E6313964,2025-03-04T20:22:00.000Z,32.760439,-96.796008,163.6,219.4,13.3,11.0,False,False,False,False,False,android,4.1.2,76,LTE,-55,en_route_to_customer,8.2,1.827,True,clear,57.6,moderate,dinner,1.456,0,100,2.8
TEL-5998BE2B5669,DRV-1016,PR-240619-LTNS4T4,SES-320CC10E,2025-03-01T23:14:30.000Z,32.752941,-96.784432,143.2,18.2,13.8,13.8,False,False,False,True,False,android,4.2.1,47,5G,-72,en_route_to_restaurant,0.0,0.007,False,clear,67.3,moderate,late_night,0.865,0,78,3.65
TEL-D9D6143F2FD0,DRV-1016,PR-240822-ZNCLYOE,SES-62A7F64D,2025-03-01T22:25:30.000Z,33.068349,-96.643433,123.5,29.8,13.9,4.7,False,False,False,False,False,android,4.2.1,75,5G,-73,en_route_to_customer,2.4,0.553,True,clear,94.0,heavy,late_night,0.892,0,100,1.99
TEL-A204618C60CF,DRV-1001,PR-240822-72XCYHT,SES-210B8841,2025-03-08T22:29:00.000Z,33.022209,-96.63689,141.0,186.5,30.1,8.1,False,False,False,False,False,android,4.2.0,44,LTE,-62,en_route_to_customer,0.2,0.106,True,rain,53.5,light,late_night,2.797,0,100,2.0
TEL-D8C9982BF57A,DRV-1000,PR-240626-LW3F5AZ,SES-BA33A22A,2025-03-07T05:03:00.000Z,32.971131,-96.590608,174.8,0.0,0.0,8.6,False,False,False,False,False,ios,4.1.2,89,LTE,-91,waiting_at_restaurant,0.0,0.0,True,clear,103.7,light,breakfast,0.985,3,98,3.06
TEL-A7215F73AE1A,DRV-1014,PR-240601-ZEKZPUK,SES-76F736ED,2025-03-10T07:19:00.000Z,32.97007,-96.600093,149.1,0.0,0.0,11.6,False,False,False,False,False,ios,4.1.2,56,offline,-73,waiting_at_restaurant,0.0,0.0,False,rain,86.9,heavy,breakfast,0.281,25,98,2.29
TEL-07C71AFDD09C,DRV-1009,PR-240627-PJAXM5V,SES-4BC33512,2025-03-04T06:36:00.000Z,32.760786,-96.792051,173.4,0.0,0.0,10.2,False,False,False,False,False,android,4.2.1,62,LTE,-71,waiting_at_restaurant,0.0,0.0,True,rain,84.0,moderate,breakfast,1.099,33,100,2.52
TEL-4CC0CC129669,DRV-1002,PR-240703-FAS5CJG,SES-20488E44,2025-03-02T13:32:30.000Z,33.074992,-96.614795,167.3,82.6,11.5,8.4,False,False,False,True,False,ios,4.2.0,79,LTE,-68,en_route_to_customer,3.9,0.749,True,clear,72.2,heavy,lunch,1.015,0,80,3.73
TEL-53F5AEAC2F41,DRV-1019,PR-240802-BM5QT03,SES-6CCFC5D9,2025-03-04T15:39:00.000Z,32.99557,-96.729484,120.6,357.0,37.1,7.1,False,False,False,False,False,android,4.1.2,40,LTE,-71,en_route_to_customer,1.5,0.957,True,rain,51.9,light,dinner,1.954,0,100,1.21
TEL-B383E2D671AD,DRV-1015,PR-240821-F08F4NS,SES-2CF09FA0,2025-03-05T23:32:30.000Z,32.804738,-96.762423,159.6,0.0,0.0,10.3,False,False,False,False,False,android,4.1.2,43,LTE,-96,waiting_at_restaurant,0.0,0.0,True,clear,74.9,light,late_night,0.762,0,97,1.22
TEL-7F28B8D3AFA9,DRV-1015,PR-240630-27FE4U2,SES-A1DA1B28,2025-03-06T00:11:30.000Z,32.969956,-96.794184,157.5,0.0,0.0,12.2,False,False,False,False,False,android,4.1.2,37,5G,-68,delivered,0.0,0.0,True,rain,47.0,light,late_night,4.033,0,98,2.9
TEL-51D5F9C10FD6,DRV-1005,PR-240630-1BOEE1F,SES-D2887E55,2025-03-06T21:57:00.000Z,33.074407,-96.601929,149.5,43.2,26.7,6.1,False,False,False,False,False,ios,4.1.2,63,LTE,-64,en_route_to_customer,0.3,0.124,True,rain,61.7,moderate,late_night,1.701,0,99,2.67
TEL-17BD84FA337B,DRV-1003,PR-240614-WF45PEJ,SES-9F39C6F8,2025-03-06T08:13:00.000Z,32.790639,-96.808099,134.7,36.8,14.2,13.8,False,False,False,True,False,ios,4.1.2,83,LTE,-59,en_route_to_restaurant,1.4,0.337,True,clear,68.1,heavy,breakfast,0.38,0,82,2.99
TEL-7806B4505A71,DRV-1009,PR-240619-RSL6APY,SES-A1336A30,2025-03-04T14:24:30.000Z,32.973958,-96.771465,155.3,257.4,15.2,9.1,False,False,False,False,False,android,4.2.1,87,LTE,-71,en_route_to_restaurant,0.7,0.179,True,clear,94.6,light,lunch,0.706,0,99,2.24
TEL-FA76C4F5249E,DRV-1005,PR-240604-4P2C2B3,SES-2031AED3,2025-03-07T06:02:00.000Z,32.947957,-96.592388,126.1,40.2,20.3,9.6,False,True,False,False,False,ios,4.1.2,80,LTE,-84,en_route_to_customer,0.2,0.063,True,fog,50.1,moderate,breakfast,2.578,0,91,1.84
TEL-2A3A6716B937,DRV-1009,PR-240822-P7LB1WC,SES-FBCC9BE3,2025-03-04T13:29:00.000Z,32.950635,-96.5712,143.9,0.0,0.0,2.7,False,False,False,False,False,android,4.2.1,53,5G,-66,waiting_at_restaurant,0.0,0.0,True,clear,61.7,heavy,lunch,0.294,43,100,1.71
TEL-70EB18D8E834,DRV-1004,PR-240729-60SOPQT,SES-1E7B170A,2025-03-03T08:44:00.000Z,32.978523,-96.748252,145.0,247.7,18.4,15.9,False,False,False,False,False,android,4.1.2,66,LTE,-73,en_route_to_restaurant,0.1,0.04,True,clear,81.6,light,breakfast,0.848,0,98,1.85
TEL-AA8152EB61ED,DRV-1001,PR-240808-BGAANQ6,SES-8B263C41,2025-03-08T10:15:30.000Z,32.977325,-96.621039,172.5,303.1,24.2,11.9,False,False,False,False,False,android,4.2.0,97,3G,-70,en_route_to_restaurant,0.2,0.072,True,clear,74.7,moderate,breakfast,0.669,0,100,2.07
TEL-BFD6BFDA7020,DRV-1005,PR-240723-4RFF1BC,SES-BF6835F3,2025-03-06T23:27:30.000Z,32.986812,-96.607459,168.2,337.3,13.1,9.2,False,False,False,False,False,ios,4.1.2,71,offline,-102,en_route_to_restaurant,0.2,0.052,True,clear,96.8,moderate,late_night,0.855,0,100,3.24
TEL-09C0F41FF9CE,DRV-1003,PR-240826-YLNU39N,SES-FD1761FA,2025-03-06T02:29:00.000Z,33.020283,-96.761625,134.5,226.4,15.6,17.9,False,False,False,False,False,ios,4.1.2,52,LTE,-88,en_route_to_restaurant,0.2,0.045,True,rain,68.1,moderate,late_night,0.812,0,100,2.05
TEL-D5045B24FF86,DRV-1004,PR-240729-60SOPQT,SES-1E7B170A,2025-03-03T08:46:30.000Z,32.968523,-96.755729,147.5,207.6,22.7,11.9,False,False,False,False,False,android,4.1.2,63,LTE,-101,en_route_to_customer,6.4,2.418,True,clear,47.7,light,breakfast,1.482,0,100,1.91
TEL-1287FA789FD1,DRV-1003,PR-240725-XOSNKW5,SES-CD4040CB,2025-03-06T17:26:00.000Z,33.049434,-96.630163,129.8,0.0,0.0,8.6,False,False,False,False,False,ios,4.1.2,52,3G,-91,delivered,0.0,0.0,False,rain,57.3,moderate,dinner,1.342,0,100,2.7
TEL-97EEDA072255,DRV-1005,PR-240804-1PVM23X,SES-E5A117D4,2025-03-06T20:22:30.000Z,32.964898,-96.785739,170.2,0.0,0.0,8.5,False,False,False,False,False,ios,4.1.2,43,LTE,-74,waiting_at_restaurant,0.0,0.0,True,clear,56.1,moderate,dinner,0.797,35,100,2.34
TEL-B8645B289E8A,DRV-1014,PR-240624-PCQ0XHP,SES-05460BED,2025-03-09T22:35:30.000Z,32.959116,-96.723155,167.9,81.4,29.7,12.2,False,False,False,True,False,ios,4.1.2,81,offline,-78,en_route_to_customer,1.4,0.712,True,clear,70.9,light,late_night,2.322,0,80,1.8
TEL-986F0E43EEC2,DRV-1009,PR-240609-I8YI41G,SES-8FA8D42D,2025-03-04T05:19:00.000Z,32.808234,-96.763596,136.4,0.0,0.0,13.2,False,False,False,False,False,android,4.2.1,59,5G,-92,waiting_at_restaurant,0.0,0.0,True,rain,48.1,moderate,breakfast,1.29,4,100,2.44
TEL-B029668568FF,DRV-1015,,SES-8A49DE0A,2025-03-05T20:52:00.000Z,33.051474,-96.643796,155.1,0.0,0.0,7.0,False,False,False,False,False,android,4.1.2,41,5G,-58,idle,0.0,0.0,True,clear,63.3,light,dinner,0.0,10,99,3.31
TEL-63DEB5CAF282,DRV-1012,PR-240718-58RZZFQ,SES-17714D60,2025-03-02T19:23:00.000Z,32.999829,-96.731109,153.5,241.8,22.6,16.3,False,False,False,False,False,android,4.2.0,75,5G,-66,en_route_to_restaurant,0.1,0.035,True,clear,77.5,light,dinner,1.493,0,100,2.98
TEL-8D350C21A9CC,DRV-1017,PR-240603-94I85VO,SES-96E86FE5,2025-03-04T22:13:00.000Z,33.046569,-96.67404,128.4,184.8,27.7,8.9,False,True,False,True,False,android,4.1.2,81,LTE,-69,en_route_to_restaurant,0.2,0.078,False,clear,65.9,light,late_night,0.691,0,70,1.51
TEL-5D3971E189C3,DRV-1015,PR-240708-8CDR6JY,SES-8A49DE0A,2025-03-05T20:46:00.000Z,33.047124,-96.634579,161.9,169.5,30.5,11.7,False,False,False,False,False,android,4.1.2,46,5G,-98,en_route_to_restaurant,0.2,0.112,True,clear,46.6,light,dinner,1.089,0,100,1.62
TEL-BF66BEBE0C76,DRV-1018,PR-240712-W6HTRGU,SES-A219A0D4,2025-03-04T16:12:00.000Z,32.976243,-96.737229,149.7,198.4,21.2,10.3,False,False,False,False,False,android,4.1.2,89,5G,-76,en_route_to_restaurant,3.0,1.044,True,rain,81.5,moderate,dinner,0.177,0,99,1.89
TEL-2F500124F877,DRV-1007,PR-240628-BCF3KUT,SES-A13F2407,2025-03-02T17:58:30.000Z,33.079757,-96.658916,162.8,138.2,15.0,9.2,False,False,False,False,False,ios,4.2.0,95,LTE,-100,en_route_to_restaurant,0.2,0.062,False,rain,98.6,moderate,dinner,0.948,0,98,1.65
TEL-143265DE9449,DRV-1019,PR-240703-Z88DON8,SES-1AAE27D0,2025-03-04T21:43:30.000Z,32.975714,-96.748051,149.2,188.4,13.6,14.2,False,False,False,False,False,android,4.1.2,100,3G,-95,en_route_to_customer,10.4,2.349,True,clear,100.4,heavy,late_night,0.378,0,99,2.0
TEL-4F8D56D2F3D0,DRV-1012,,SES-164DF7DD,2025-03-03T01:38:00.000Z,32.92496,-96.617962,120.0,0.0,0.0,16.4,False,False,False,False,False,android,4.2.0,52,3G,-83,idle,0.0,0.0,True,clear,99.4,moderate,late_night,0.0,29,100,1.52
TEL-7713508E33E0,DRV-1010,PR-240724-R8H8XTM,SES-D359308F,2025-03-07T01:24:30.000Z,33.026098,-96.73985,137.8,268.7,17.6,11.1,False,False,False,False,False,ios,4.2.0,93,5G,-64,en_route_to_customer,6.7,1.952,True,clear,93.6,heavy,late_night,1.098,0,100,3.41
TEL-B772DF81F0E5,DRV-1015,PR-240703-LCCHKX5,SES-60E877C9,2025-03-06T04:25:00.000Z,32.92549,-96.620671,121.1,218.5,15.9,6.9,False,False,False,False,False,android,4.1.2,79,LTE,-84,en_route_to_customer,0.4,0.1,True,clear,80.5,light,late_night,1.983,0,100,3.14
TEL-E3C5BB889CE8,DRV-1019,PR-240614-IKCVA2S,SES-DABE15F5,2025-03-05T06:15:30.000Z,32.995601,-96.788495,171.1,230.7,23.4,17.5,False,False,False,False,False,android,4.1.2,77,offline,-64,en_route_to_restaurant,0.0,0.018,True,rain,90.4,moderate,breakfast,1.001,0,100,2.07
TEL-FF1900B7B2F9,DRV-1003,PR-240715-ERR3CR0,SES-9754334E,2025-03-06T07:25:30.000Z,33.10028,-96.664195,168.3,0.0,0.0,3.0,False,False,False,False,False,ios,4.1.2,92,5G,-93,delivered,0.0,0.0,True,clear,65.5,heavy,breakfast,1.406,0,99,3.49
TEL-EAAB906AD67F,DRV-1014,PR-240808-7VHCQ11,SES-0BED6D72,2025-03-10T06:47:00.000Z,32.997725,-96.636046,165.7,240.0,20.7,17.1,False,False,False,True,False,ios,4.1.2,73,LTE,-55,en_route_to_restaurant,0.2,0.068,True,clear,94.8,moderate,breakfast,1.08,0,77,1.3
TEL-73C446D2DF79,DRV-1009,PR-240806-VPG6F37,SES-DCD124CA,2025-03-04T04:28:30.000Z,32.769204,-96.806716,136.9,0.0,0.0,6.7,False,False,False,False,False,android,4.2.1,43,5G,-74,waiting_at_restaurant,0.0,0.0,True,rain,71.0,light,late_night,0.698,35,100,1.97
TEL-58CC32D9C2D6,DRV-1008,PR-240815-N2954WE,SES-8F4D909F,2025-03-05T09:12:30.000Z,32.99656,-96.582252,123.2,0.0,0.0,6.2,False,False,False,False,False,android,4.2.0,46,LTE,-61,delivered,0.0,0.0,True,rain,70.7,light,breakfast,3.594,0,97,1.46
TEL-714152DD5A09,DRV-1016,PR-240619-LTNS4T4,SES-320CC10E,2025-03-01T23:18:00.000Z,32.806093,-96.817393,168.3,321.1,11.4,13.2,False,False,False,False,False,android,4.2.1,44,5G,-104,en_route_to_customer,0.5,0.087,True,clear,88.8,moderate,late_night,1.575,0,100,3.45
TEL-07484D6DC145,DRV-1001,,SES-A1D9DD25,2025-03-08T12:38:30.000Z,32.794645,-96.824555,172.1,0.0,0.0,5.6,False,False,False,False,False,android,4.2.0,86,LTE,-60,idle,0.0,0.0,True,clear,89.1,light,lunch,0.0,13,100,2.93
TEL-D99D08128D94,DRV-1010,PR-240823-K1WR3GU,SES-15C0C150,2025-03-07T06:55:00.000Z,32.964975,-96.787913,124.7,329.4,12.5,5.6,False,False,False,False,False,ios,4.2.0,47,5G,-97,en_route_to_restaurant,1.4,0.293,True,rain,48.4,moderate,breakfast,0.334,0,98,1.7
TEL-AF17823CE454,DRV-1017,PR-240614-Z89E2K8,SES-3381B5B9,2025-03-05T03:15:30.000Z,33.097121,-96.680656,146.7,327.0,15.8,13.2,False,False,True,False,False,android,4.1.2,95,LTE,-88,en_route_to_customer,0.2,0.059,True,rain,51.6,moderate,late_night,1.908,0,90,2.92
